name,location,releaseYear,rating,length,genre,Streaming Service,serverId
Turning Point: 9/11 and the War on Terror,,2021,0,1 Season,Docuseries,Netflix,0
Sparking Joy,United States,2021,0,1 Season,Reality TV,Netflix,0
Hometown Cha-Cha-Cha,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
The Ingenuity of the Househusband,,2021,0,1 Season,"International TV Shows, TV Comedies",Netflix,0
Bread Barbershop,,2020,0,2 Seasons,"Kids' TV, TV Comedies",Netflix,0
D.P.,", South Korea",2021,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Deadly Sins,,2002,0,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix,0
I Heart Arlo,,2021,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
King of Boys: The Return of the King,Nigeria,2021,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Rebellion,Ireland,2016,0,2 Seasons,"International TV Shows, TV Dramas",Netflix,0
RIDE ON TIME,,2021,0,3 Seasons,"Docuseries, International TV Shows",Netflix,0
Titletown High,,2021,0,1 Season,"Reality TV, Teen TV Shows",Netflix,0
EDENS ZERO,Japan,2021,0,1 Season,"Anime Series, International TV Shows",Netflix,0
Family Reunion,United States,2021,0,4 Seasons,"Kids' TV, TV Comedies",Netflix,0
Clickbait,,2021,0,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix,0
John of God: The Crimes of a Spiritual Healer,,2021,0,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Netflix,0
Motel Makeover,,2021,0,1 Season,"International TV Shows, Reality TV",Netflix,0
Open Your Eyes,,2021,0,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Post Mortem: No One Dies in Skarnes,,2021,0,1 Season,"International TV Shows, TV Comedies, TV Dramas",Netflix,0
Wheel of Fortune,United States,2019,0,3 Seasons,Reality TV,Netflix,0
Oggy Oggy,,2021,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
Manifest,United States,2021,0,3 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",Netflix,0
Comedy Premium League,,2021,0,1 Season,"International TV Shows, TV Comedies",Netflix,0
Everything Will Be Fine,,2021,0,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Netflix,0
Korean Cold Noodle Rhapsody,,2021,0,1 Season,"Docuseries, International TV Shows",Netflix,0
The Chair,,2021,0,1 Season,"TV Comedies, TV Dramas",Netflix,0
Go! Go! Cory Carson,United States,2021,0,5 Seasons,Kids' TV,Netflix,0
The Defeated,,2020,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Mother Goose Club,United States,2016,0,2 Seasons,Kids' TV,Netflix,0
Rascal Does Not Dream of Bunny Girl Senpai,Japan,2018,0,1 Season,"Anime Series, International TV Shows, Romantic TV Shows",Netflix,0
The Creative Indians,India,2020,0,1 Season,"Docuseries, International TV Shows",Netflix,0
Winx Club,Italy,2015,0,2 Seasons,Kids' TV,Netflix,0
Brand New Cherry Flavor,United States,2021,0,1 Season,"TV Dramas, TV Horror, TV Mysteries",Netflix,0
